Deň,Raňajky,Desiata,Obed,Olovrant,Večera
1,Mrkev; jablko; med; rozinky; vlašské ořechy,Ananas,Brokolice s česnekem; strouhaný sýr,Zeleninový salát s mandlemi,Salát z červené řepy; strouhaný sýr
2,Mrkev; jablko; med; rozinky; vlašské ořechy,Kiwi,Fazolové lusky s česnekem; strouhaný sýr,Bílý jogurt; med; vlašské ořechy,Salát z červené řepy; vařené vejce
3,Mrkev; jablko; med; rozinky; vlašské ořechy,Ovocné pyré,Salát z červené řepy; strouhaný sýr,Zeleninový salát s mandlemi,Mrkvový perkelt; strouhaný sýr
4,Mrkev; jablko; med; rozinky; vlašské ořechy,Hruška,Mrkvový perkelt; strouhaný sýr,Okurkový salát s jogurtem,Cuketové placky
5,Mrkev; jablko; med; rozinky; vlašské ořechy,Pomelo,Fazolové lusky s česnekem; strouhaný sýr,Ředkvičkový salát,Cuketové placky
6,Mrkev; jablko; med; rozinky; vlašské ořechy,Jablko,Cuketové placky,Bílý jogurt; med; mandle,Brokolice s česnekem; vařené vejce
7,Mrkev; jablko; med; rozinky; vlašské ořechy,Meruňky,Salát z červené řepy; vařené vejce,Bílý jogurt,Mrkvový perkelt; strouhaný sýr
8,Bílý jogurt; med; vlašské ořechy; skořice,Datle,Těstoviny; kedlubna,Slaný špenátový koláč,Boršč
9,Kiwi; banán; mandle; med; skořice,Ananas,Brokolice s česnekem; zázvor; strouhaný sýr,Bílý jogurt; med; mandle,Hráškový krém
10,Mrkev; jablko; med; rozinky; vlašské ořechy,Brusinky,Mrkvový perkelt; strouhaný sýr,Zeleninový salát s mandlemi,Salát z červené řepy; vařené vejce
11,Kiwi; banán; mandle; med; skořice,Jablko,Fazolové lusky s česnekem; vařené vejce,Bílý jogurt; med; mandle,Brynza s bílky
12,Bílý jogurt; vlašské ořechy; med; skořice,Ovocný salát,Těstoviny; špenát,Okurkový salát s jogurtem,Hráškový krém
13,Mrkev; jablko; med; rozinky; vlašské ořechy,Švestky,Mrkvový perkelt; strouhaný sýr,Bílý jogurt; med; mandle,Boršč
14,Mrkev; jablko; med; rozinky; vlašské ořechy,Datle,Kuřecí karbanátky s celerem; zeleninový salát / Vegetarián: Brokolicové karbanátky; zeleninový salát,Bílý jogurt,Brokolice s česnekem; zázvor; strouhaný sýr
15,Grahamový rohlík; med; vlašské ořechy; grepová šťáva,Ananas,Kuřecí karbanátky s celerem; zeleninový salát / Vegetarián: Tempeh na indický způsob; rýže basmati,Zeleninový salát s mandlemi,Brynza s bílky
16,Mrkev; jablko; med; rozinky; vlašské ořechy,Kiwi,Fazolová polévka adzuki / Fazolové lusky; salát z červené řepy,Bílý jogurt; med; vlašské ořechy,Mozzarella; rajčata; bazalka
17,Vařené jáhly; vlašské ořechy; sušené švestky; med,Ovocné pyré,Dýňový krém; Cuketové placky,Zeleninový salát s mandlemi,Zeleninový krém
18,Bílý jogurt; vlašské ořechy; med; skořice,Hruška,Červená řepa; cibule; tuňák / Vegetarián: Červená řepa; cibule; vejce,Okurkový salát s jogurtem,Salát z červené řepy; smažená kuřecí prsa obalená ve vlašských ořech. / Vegetarián: Brokolicové karbanátky; salát z červené řepy
19,Pohankové vločky; sójové mléko; jablko; vlašské ořechy; med,Ovocný salát,Treska na másle; celerové pyré / Vegetarián: Indické tofu; celerové pyré,Ředkvičkový salát,Mrkvový perkelt; strouhaný sýr; brokolice s česnekem
20,Mrkev; jablko; med; rozinky; vlašské ořechy,Jablko,Kuřecí stehno; pečený celer/ Vegetarián: Tofu karbanátek; pečený celer,Bílý jogurt; med; mandle,Brokolice s česnekem; tuňák
21,Vařené jáhly; vlašské ořechy; sušené švestky; med,Meruňky,Krůtí stehna; pečený celer / Červená řepa; okurek / Vegetarián: Indické tofu; pečený celer,Bílý jogurt,Brynza s bílky
22,Pohankové vločky; sójové mléko; jablko; vlašské ořechy; med,Datle,Těstoviny; kedlubna,Slaný špenátový koláč,Kuřecí karbanátky s celerem; zeleninový salát / Vegetarián: Brokolicové karbanátky; zeleninový salát
23,Mrkev; jablko; med; rozinky; vlašské ořechy,Ananas,Mrkvový perkelt; strouhaný sýr; brokolice s česnekem,Bílý jogurt; med; mandle,Salát z červené řepy; smažená kuřecí prsa obalená ve vlašských ořech. / Vegetarián: Salát z červené řepy; vejce
24,Vařené jáhly; vlašské ořechy; sušené švestky; med,Ovocné pyré,Treska na másle; salát z červené řepy / Vegetarián: Salát z červené řepy; sýr,Zeleninový salát s mandlemi,Dýňový krém; Cuketové placky
25,Mrkev; jablko; med; rozinky; vlašské ořechy,Jablko,Těstoviny; špenát,Bílý jogurt; med; mandle,Salát z červené řepy; tuňák / Vegetarián: Salát z červené řepy; vejce
26,Bílý jogurt; vlašské ořechy; med; skořice,Ovocný salát,Brynza s bílky,Slaný špenátový koláč,Vařené jáhly; vlašské ořechy; sušené švestky; med
27,Grahamový rohlík; med; vlašské ořechy; grepová šťáva,Švestky,Boršč,Bílý jogurt; med; mandle,Treska na másle; celerové pyré / Vegetarián: Indické tofu; celerové pyré
28,Vařené jáhly; vlašské ořechy; sušené švestky; med,Datle,Kuřecí karbanátky s celerem; zeleninový salát / Vegetarián: Brokolicové karbanátky; zeleninový salát,Bílý jogurt,Červená řepa; cibule; tuňák / Vegetarián: Červená řepa; cibule; vejce
